 Print Document Close Window
Route Loading Sheet
Route Name: Kurunegala To Hettipola

Assigned Rep: Abdul Raheem

Printed On: 2026-07-20 6:51 PM

Active Bills
17
Total Route Value
Rs. 308,062.82
No	Product Name	Qty	Unit Price	Total	
1	1206 Water Color Tube 6ml	0	460.00	0.00	
2	Color Pencil Tin 12 Half	36	260.00	9,360.00	
3	Cosmo Color Pencil 12 half	36	150.00	5,400.00	
4	Doms Color Pencil Tin 12Pcs	18	440.00	7,920.00	
5	Master Water Color Tube 6ml	0	250.00	0.00	
6	Pastel Pentium 13Pcs	144	185.00	26,640.00	
7	Pastel Pentium 24Pcs	18	315.00	5,670.00	
8	Pastel Pentium 6Pcs	144	90.00	12,960.00	
9	Platignum Yalong 6Pcs	18	220.00	3,960.00	
10	Vneed Platignum 6Pcs	72	160.00	11,520.00	
11	Vneed Water Color Tube 6ml	99	300.00	29,700.00	
12	Plain Balloon 20Pcs Black	174	160.00	27,840.00	
13	Plain Balloon 20Pcs Blue	12	160.00	1,920.00	
14	Plain Balloon 20Pcs Gold	126	200.00	25,200.00	
15	Plain Balloon 20Pcs Green	12	160.00	1,920.00	
16	Plain Balloon 20Pcs L Blue	48	160.00	7,680.00	
17	Plain Balloon 20Pcs L Green	12	160.00	1,920.00	
18	Plain Balloon 20Pcs Magenta	12	160.00	1,920.00	
19	Plain Balloon 20Pcs Orange	12	160.00	1,920.00	
20	Plain Balloon 20Pcs Pink	42	160.00	6,720.00	
21	Plain Balloon 20Pcs Red	42	160.00	6,720.00	
22	Plain Balloon 20Pcs Silver	126	200.00	25,200.00	
23	Plain Balloon 20Pcs White	174	160.00	27,840.00	
24	Plain Balloon 20Pcs Yellow	18	160.00	2,880.00	
25	Plain Balloon Assorted Balloon 20Pcs	108	160.00	17,280.00	
26	Plain Balloon Assorted No 09 100Pcs	12	580.00	6,960.00	
27	Plain Balloon Assorted No 12 100Pcs	6	730.00	4,380.00	
28	Plain Balloon No 09 100Pcs Blue	6	580.00	3,480.00	
29	Plain Balloon No 09 100Pcs Gold	36	770.00	27,720.00	
30	Plain Balloon No 09 100Pcs Pink	6	580.00	3,480.00	
31	Plain Balloon No 09 100Pcs Red	18	580.00	10,440.00	
32	Plain Balloon No 09 100Pcs Silver	36	770.00	27,720.00	
33	Plain Balloon No 09 100Pcs White	6	580.00	3,480.00	
34	Plain Balloon No 09 100Pcs Yellow	6	580.00	3,480.00	
35	B Day Party Balloon 72Pcs	12	1,490.00	17,880.00	
36	B Day Party Balloon 7Pcs	54	310.00	16,740.00	
37	B Day Party Candle 0013	54	90.00	4,860.00	
38	B Day Party Candle 0085	96	100.00	9,600.00	
