SKU,Name,"Selling Price","Wholesale Price","Cost Price",Quantity,Description,Barcode,Category,Brand,Warehouse,Vendor,"Alert Qty",Unit,Status,Weight,"Retail Margin","Wholesale Margin","Sample Code",Variations
TEST001,"Test Product",0.00,0.00,0.00,0,,,,,"Main Warehouse","Falcon Stationary PVT LTD",5,pcs,active,,0.00,0.00,,[]
AIBM,"Marshal Instrument Box",276.00,253.00,0.00,0,,,,,,,5,pcs,active,0.23,0.00,0.00,,[]
AIBT,"TipTop Instrument Box",480.00,440.00,0.00,0,,,,,,,5,pcs,inactive,0.51,0.00,0.00,,[]
AMG100,"Magnifying Glass 100mm",252.00,231.00,0.00,0,,,,,,,5,pcs,active,0.25,0.00,0.00,,[]
AMG50,"Magnifying Glass 50mm",108.00,99.00,0.00,0,,,,,,,5,pcs,active,0.4,0.00,0.00,,[]
AMG60,"Magnifying Glass 60mm",132.00,121.00,0.00,0,,,,,,,5,pcs,active,0.37,0.00,0.00,,[]
AMG75,"Magnifying Glass 75mm",192.00,176.00,0.00,0,,,,,,,5,pcs,active,0.43,0.00,0.00,,[]
AMG90,"Magnifying Glass 90mm",360.00,330.00,0.00,0,,,,,,,5,pcs,active,0.32,0.00,0.00,,[]
AMS4,"Maths Set 4Pcs",132.00,121.00,0.00,0,,,,,,,5,pcs,active,0.06,0.00,0.00,,[]
APPAS13,"Pastal Pentium 13Pcs",200.40,183.70,0.00,0,,,,,,,5,pcs,active,0.07,0.00,0.00,,[]
APPAS24,"Pastal Pentium 24Pcs",357.60,327.80,0.00,0,,,,,,,5,pcs,active,0.1,0.00,0.00,,[]
APPAS6,"Pastal Pentium 6Pcs",108.00,100.00,80.00,110,,,"Arts and Crafts",,"Main Warehouse","Falcon Stationary PVT LTD",5,pcs,active,0.03,35.00,25.00,,[]
APPC18,"Cosmo Colour Pencil 18Pcs",594.00,544.50,0.00,0,,,,,,,5,pcs,active,0.18,0.00,0.00,,[]
APPC36,"Cosmo Colour Pencil 36Pcs",1428.00,1.00,0.00,0,,,,,,,5,pcs,active,0.24,0.00,0.00,,[]
APPC48,"Cosmo Colour Pencil 48Pcs",1908.00,1.00,0.00,0,,,"Arts and Crafts",,,"Falcon Stationary PVT LTD",5,pcs,active,0.38,0.00,0.00,,[]
APPC6,"Cosmo Colour Pencil 6Pcs",180.00,165.00,0.00,0,,,,,,,5,pcs,active,0.05,0.00,0.00,,[]
APPC72,"Cosmo Colour Pencil 72Pcs",2748.00,2.00,0.00,0,,,,,,,5,pcs,inactive,0.33,0.00,0.00,,[]
APPECP12,"Erasable Colour Pencil 12Pcs",588.00,539.00,0.00,0,,,,,,,5,pcs,inactive,0.08,0.00,0.00,,[]
APPL12AC,"Acrylic Platignum 12Pcs",696.00,639.10,0.00,0,,,,,,,5,pcs,active,0.09,0.00,0.00,,[]
APPL24AC,"Acrylic Platignum 24Pcs",1308.00,1199.00,0.00,0,,,,,,,5,pcs,active,0.24,0.00,0.00,,[]
APPL6,"Platignum 6Pcs",270.00,247.50,0.00,0,,,,,,,5,pcs,active,0.03,0.00,0.00,,[]
APPL6Y,"Platignum Yalong 6 Colours",264.00,242.00,0.00,0,,,,,,,5,pcs,active,0.1,0.00,0.00,,[]
